record_id,title,exclusion_stage,exclusion_reason
R210,Pipeline Infrastructure Required to Meet the Requirements on AI,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R211,"An Empirical Study on Microservices Deployment Trends, Topics and Challenges in Stack Overflow",Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R212,Optimization of Data Asset Management and Sharing in Yantian Power Supply Bureau Based on Blockchain Smart Contracts,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R213,ConfEx: Towards Automating Software Configuration Analytics in the Cloud,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R214,Cost-Aware Multifaceted Reconfiguration of Service-and Cloud-Based Dynamic Routing Applications,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R216,Are We There Yet? Unraveling the State-of-the-Art Smart Contract Fuzzers,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R217,Inspecting the performance of low-power nodes during the execution of edge computing tasks,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R218,Kubernetes in Production Best Practices: Build and manage highly available production-ready Kubernetes clusters,Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R219,Design of intelligent management and control software for gas drainage in the whole mine based on cross platform architecture,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R220,Characterizing Scheduling Delay for Low-Latency Data Analytics Workloads,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R221,TOSCA for Microservice Deployment in Distributed Control Systems: Experiences and Lessons Learned,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R222,Processing Honeypot Logs with Big Data and Data Visualization via Hadoop- Power BI Integration,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R223,System for Multi-Robotic Exploration of Underground Environments CTU-CRAS-NORLAB in the DARPA Subterranean Challenge,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R224,Palo Alto Networks from Policy to Code: Automate PAN-OS security policies with Python precision,Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R225,CI/CD Pipelines Evolution and Restructuring: A Qualitative and Quantitative Study,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R229,Deep Transfer Learning in 6G Networks: A Greener Approach for Taming the Complexity,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R230,2nd International Workshop on the Foundations of Infrastructure Specification and Testing : FIST 2023,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R231,The Convergence of DevOps and Cloud Computing: A Redefining Software Development,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R232,CfgNet: A Framework for Tracking Equality-Based Configuration Dependencies Across a Software Project,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R233,DGWC: Distributed and generic web crawler for online information extraction,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R234,Using Traces from IoT Devices to Solve Criminal Cases,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R235,Bioinformatics with Python Cookbook: Solve advanced computational biology problems and build production pipelines with Python and AI tools,Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R236,Analysis of Modern Release Engineering Topics : – A Large-Scale Study using StackOverflow –,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R237,Continuously Managing NFRs: Opportunities and Challenges in Practice,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R238,MLOps,Phase 1 - Screening,"Book chapter (Wiley AI eBook), not peer-reviewed"
R239,Cross-Cloud Large Language Model Orchestration for Secure DevOps and Data Engineering in Enterprise AI,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R240,Architecting Google Cloud Solutions: Learn to design robust and future-proof solutions with Google Cloud technologies,Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R242,Understanding Self-Admitted Technical Debt in Test Code: An Empirical Study,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R243,Reengineering of Simulation-based Digital Twin Toolchains for Automated Vehicles to Mitigate Technical Debt: A Case Study,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R244,TechDebt '24: Proceedings of the 7th ACM/IEEE International Conference on Technical Debt,Phase 1 - Screening,"Proceedings volume front matter (BibTeX @proceedings), not a peer-reviewed study"
R245,Racing Against the Clock: Exploring the Impact of Scheduled Deadlines on Technical Debt,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R247,The prevalence of the technical debt concept in serbian IT industry: results of a national-wide survey,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R248,TD classifier: automatic identification of Java classes with high technical debt,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R249,Trade-offs in managing risk and technical debt in industrial research labs: an experience report,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R250,"Software archinaut: a tool to understand architecture, identify technical debt hotspots and manage evolution",Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R251,WeakSATD: detecting weak self-admitted technical debt,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R252,Best practices for reproducible research,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R253,MultiDimEr: a multi-dimensional bug analyzEr,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R255,Towards Reproducible Research in a Biomedical Collaboration Platform following the FAIR Guiding Principles,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R257,What you See is What you Get: Exploring the Relation between Code Aesthetics and Code Quality,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R258,Towards microservice smells detection,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R259,QUPER-MAn: Benchmark-Guided Target Setting for Maintainability Requirements,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R260,Customizable visualization of quality metrics for object-oriented variability implementations,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R263,Containerizing Java Applications with Dockerfile,Phase 1 - Screening,"Book chapter (Springer Content Type: Chapter), not a peer-reviewed article"
R265,Oracle Dockerfile Recipes,Phase 1 - Screening,"Book chapter (Springer Content Type: Chapter), not a peer-reviewed article"
R266,Dockerfile Syntax,Phase 1 - Screening,"Book chapter (Springer Content Type: Chapter), not a peer-reviewed article"
R267,Understanding the Dockerfile,Phase 1 - Screening,"Book chapter (Springer Content Type: Chapter), not a peer-reviewed article"
R268,Understanding a DockerFile,Phase 1 - Screening,"Video segment (Springer Content Type: Video segment), not a peer-reviewed publication"
R272,Understanding the Dockerfile,Phase 1 - Screening,"Book chapter (Springer Content Type: Chapter), not a peer-reviewed article"
R273,The Dockerfile,Phase 1 - Screening,"Book chapter (Springer Content Type: Chapter), not a peer-reviewed article"
R001,An Empirical Study of Build Failures in the Docker Context,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R005,Anti-Patterns in Infrastructure as Code,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R007,TerraMetrics: An Open Source Tool for Infrastructure-as-Code (IaC) Quality Metrics in Terraform,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): iac, infrastructure-as-code, terraform): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R008,Semantic Transformer-Based Detection of Security Misconfigurations in Cloud Infrastructure-as-Code,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): security): title indicates a focus on container/IaC security scanning, vulnerability diagnostics, or secret-leak mitigation; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R009,Characteristics of Defective Infrastructure as Code Scripts in DevOps,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): devops): title indicates a focus on cluster orchestration, container deployment workflows, or DevOps/CI-CD pipeline infrastructure; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R010,As Code Testing: Characterizing Test Quality in Open Source Ansible Development,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): ansible): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R011,Code Smells in Infrastructure as Code,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R014,Automated Approach to IaC Code Inspection Using Python-Based DevSecOps Tool,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): iac): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R016,Gang of Eight: A Defect Taxonomy for Infrastructure as Code Scripts,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R017,Vulnerability Analysis and Security Research of Docker Container,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): security, vulnerab): title indicates a focus on container/IaC security scanning, vulnerability diagnostics, or secret-leak mitigation; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R018,Docker2RDF: Lifting the Docker Registry Hub into RDF,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R019,Mining Container Image Repositories for Software Configuration and Beyond,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R020,Quality Assurance for Infrastructure Orchestrators: Emerging Results from Ansible,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): orchestrat): title indicates a focus on cluster orchestration, container deployment workflows, or DevOps/CI-CD pipeline infrastructure; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R021,A Large-scale Data Set and an Empirical Study of Docker Images Hosted on Docker Hub,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R022,DIVDS: Docker Image Vulnerability Diagnostic System,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): vulnerab): title indicates a focus on container/IaC security scanning, vulnerability diagnostics, or secret-leak mitigation; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R023,An Approach to Identifying Error Patterns for Infrastructure as Code,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R024,"Smelly Variables in Ansible Infrastructure Code: Detection, Prevalence, and Lifetime",Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): ansible): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R025,SoK: Static Configuration Analysis in Infrastructure as Code Scripts,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R026,Smells-sus: Sustainability Smells in IaC,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): iac): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R027,A Catalog of Cost Patterns and Antipatterns for Infrastructure as Code,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R029,Control and Data Flow in Security Smell Detection for Infrastructure as Code: Is It Worth the Effort?,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): security): title indicates a focus on container/IaC security scanning, vulnerability diagnostics, or secret-leak mitigation; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R030,A Framework for Reusable Infrastructure as Code Templates in Cloud-Native Environments,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R033,FEET: A Framework for End-to-End Testability of FreeRADIUS via Containerization and CI Pipelines,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): pipeline): title indicates a focus on cluster orchestration, container deployment workflows, or DevOps/CI-CD pipeline infrastructure; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R034,An Empirical Study of Containerized MPI and GUI Application on HPC in the Cloud,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): hpc): title indicates a focus on container runtime performance, networking, benchmarking, or resource utilization; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R035,Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure-as-code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R036,How Do Infrastructure-as-Code Practitioners Update Their Dependencies? An Empirical Study on Terraform Module Updates,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): infrastructure-as-code, terraform): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R037,Evaluation of Foundation Models for Infrastructure-as-Code Automation on Amazon Bedrock,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure-as-code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R038,Towards Supporting the Generation of Infrastructure as Code Through Modelling Approaches - Systematic Literature Review,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): infrastructure as code): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R039,Structured Information on State and Evolution of Dockerfiles on GitHub,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R041,An Empirical Study on Dockers and Virtual Machines for Hosting React.js Web Application,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R042,Practitioner Perceptions of Ansible Test Smells,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): ansible): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R043,Container Anomaly Detection System Based on Rule Mining and Matching,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R044,Containerized MPI Application on InfiniBand based HPC: An Empirical Study,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): hpc): title indicates a focus on container runtime performance, networking, benchmarking, or resource utilization; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R045,"An Architecture for Digital Processes in Manufacturing with Blockchain, Docker and Cloud Storage",Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R046,Dual-layer Graph Retrieval-Augmented Large Language Models for Terraform Code Generation,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): terraform): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R047,ConPan: A Tool to Analyze Packages in Software Containers,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R049,Sentimentalizer: Docker container utility over Cloud,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R050,Detection and Analysis of Poisoned Image in Container Registry,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R051,Comparison between Chunk-Based and Layer-Based Container Image Storage Approaches: an Empirical Study,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R052,DockInsight: A Knowledge-Augmented Dependency Extraction Approach for Dockerfile,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R053,Harnessing the Power of LLMs for Code Smell Detection in Terraform Infrastructure as Code,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): infrastructure as code, terraform): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R054,A Dataset of Dockerfiles,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R057,On the Impact of Outdated and Vulnerable Javascript Packages in Docker Images,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): vulnerab): title indicates a focus on container/IaC security scanning, vulnerability diagnostics, or secret-leak mitigation; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R059,Forensic Analysis of Cryptojacking in Host-Based Docker Containers Using Honeypots,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R060,Database Patterns for the Cloud and Docker Integrated Environment using Open Source Machine Learning,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R061,Docker Container Networking Based Apache Storm and Flink Benchmark Test,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): benchmark, network): title indicates a focus on container runtime performance, networking, benchmarking, or resource utilization; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R064,Lessons from Research to Practice on Writing Better Quality Puppet Scripts,Phase 2 - Eligibility,Exclusion Criterion (title-level screening; matched term(s): puppet): title indicates a focus on general Infrastructure-as-Code (Ansible/Terraform/Puppet/Chef/IaC) configuration quality rather than a Dockerfile-specific catalog; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
R066,Stateful Depletion and Scheduling of Containers on Cloud Nodes for Efficient Resource Usage,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): resource): title indicates a focus on container runtime performance, networking, benchmarking, or resource utilization; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R067,Assessing Network Infrastructure-as-Code Security using Open Source Software Analysis Techniques Applied to BGP/BIRD,Phase 2 - Eligibility,"Exclusion Criterion (title-level screening; matched term(s): security): title indicates a focus on container/IaC security scanning, vulnerability diagnostics, or secret-leak mitigation; title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context)."
R073,Revisiting Dockerfiles in Open Source Software Over Time,Phase 2 - Eligibility,Exclusion Criterion (title-level screening): Title does not satisfy the Phase 2 topical inclusion rule (no smell/refactoring/quality/linting/ecosystem/reproducibility/artifact term alongside a Docker or container context).
